Index,Employee_ID,Age,Department,Is_Manager,Join_Date,Experience,Salary
0,8794,60,Finance,False,1994-03-24,30,238668
1,8222,28,Sales,True,1979-12-08,13,105995
2,7643,30,Marketing,False,1998-09-25,11,96120
3,2737,38,HR,True,2011-11-23,20,153525
4,8557,61,HR,True,1976-10-08,31,249192
5,8484,31,Marketing,False,1982-06-07,14,112443
6,5854,64,Finance,False,1981-11-12,33,269150
7,6012,33,Finance,False,1983-09-28,13,99541
8,7462,34,Finance,False,2021-01-22,15,119128
9,7276,23,Finance,False,2014-10-03,11,83249
10,6621,51,IT,True,1974-03-12,26,201259
11,7461,43,IT,True,1991-06-08,17,144477
12,4181,33,Finance,True,2015-04-22,18,148126
13,9770,64,Marketing,False,1984-08-07,29,237357
14,9138,41,Finance,True,2004-11-17,19,158446
15,7182,30,Marketing,True,1982-11-04,15,124601
16,9901,60,IT,True,2001-03-22,27,209673
17,9684,25,Finance,False,2023-11-23,11,88325
18,6645,30,Marketing,False,2002-05-02,14,117761
19,4049,45,IT,True,1992-10-09,24,193695
20,7857,56,Finance,True,1973-05-13,27,223718
21,3757,32,Finance,True,2009-10-31,16,136877
22,9062,49,Sales,True,2013-07-29,24,201355
23,4459,52,HR,False,2014-06-12,25,197155
24,2444,43,IT,True,1985-02-13,22,181254
25,3005,56,Sales,True,2009-03-13,24,197009
26,6797,47,IT,True,1996-03-20,26,201648
27,5040,37,HR,True,1972-02-13,22,186028
28,9477,54,IT,True,2008-03-10,26,201094
29,3555,48,Sales,True,1980-07-01,25,192419
30,3490,28,IT,True,2004-09-02,13,103102
31,3637,62,Marketing,True,1976-01-13,31,248038
32,9629,44,Marketing,True,1994-07-22,22,178656
33,6809,40,IT,True,1976-08-09,19,149831
34,8660,34,HR,True,2019-03-03,17,137180
35,3840,45,Sales,True,1972-11-15,22,173071
36,8354,45,Finance,False,1971-09-28,22,177939
37,9487,37,Sales,False,2024-08-06,14,115812
38,1501,47,Marketing,True,1988-09-17,21,159633
39,3766,30,Marketing,True,1977-06-23,16,132927
40,6867,47,Sales,False,2008-08-10,26,208357
41,3272,22,Sales,True,1994-09-16,12,98088
42,9299,45,Sales,False,2021-02-04,20,162526
43,3681,48,Finance,True,1974-02-20,23,182251
44,1311,51,Sales,True,2022-04-21,27,222715
45,7563,31,Finance,False,1982-01-11,17,133435
46,1977,38,Finance,False,2019-05-11,18,130398
47,2765,40,Sales,True,2000-01-14,21,164496
48,1385,42,Finance,False,2006-09-01,19,158595
49,4113,64,Marketing,False,2012-06-09,30,236259
50,8791,50,Sales,True,1975-04-15,22,174905
51,7925,44,HR,False,1994-12-18,21,161581
52,9867,50,IT,True,1987-10-22,27,210865
53,3086,46,IT,True,2020-02-08,23,187209
54,2797,51,IT,True,2013-11-07,27,216483
55,2514,63,IT,False,2003-03-12,31,241732
56,5404,22,IT,True,1974-05-21,13,100085
57,7609,48,HR,False,1990-04-11,24,196599
58,4788,53,Sales,False,1987-06-20,25,203758
59,1607,59,IT,True,1976-10-19,32,254771
60,4605,53,Finance,True,2008-09-18,28,221350
61,9897,60,Finance,False,2004-08-21,28,227840
62,6593,30,Finance,False,2008-09-24,15,118126
63,2340,32,Sales,False,1976-04-01,15,124811
64,5328,34,IT,False,2005-06-25,17,138134
65,5037,36,Finance,False,2000-05-25,16,127124
66,4527,44,Sales,False,1976-05-08,19,151056
67,6286,40,Finance,False,2002-06-21,18,135177
68,3154,31,Marketing,True,1997-01-28,12,99214
69,9819,35,Sales,False,2019-08-04,17,133866
70,3438,32,IT,True,1974-06-04,16,127570
71,8337,35,HR,True,1991-05-11,19,140250
72,7233,51,Sales,False,1992-02-07,27,212800
73,7073,50,HR,False,1992-09-04,23,191346
74,6850,36,Marketing,True,1997-03-24,20,160278
75,7191,52,Sales,True,1983-05-10,27,217985
76,5208,36,IT,True,2022-12-16,20,172798
77,5116,26,IT,False,1971-02-23,15,120869
78,6328,45,Sales,True,1980-02-29,23,186135
79,3538,27,HR,False,2013-06-16,12,107313
80,5826,48,HR,False,1974-11-01,23,189726
81,6108,45,HR,True,2012-11-24,21,171530
82,2867,64,Marketing,False,2015-08-11,34,271935
83,4495,53,Marketing,True,1976-07-21,29,234900
84,9750,49,Finance,False,2008-09-26,23,181290
85,9243,60,Sales,False,1996-04-10,31,246555
86,8462,51,Finance,True,1997-04-13,24,191660
87,8247,22,Sales,True,2004-05-21,14,111511
88,3054,43,IT,True,2020-11-15,19,148439
89,3988,31,HR,True,1989-07-21,15,120884
90,3300,26,Sales,True,2025-10-01,12,94805
91,9343,27,Sales,False,1981-12-31,13,97135
92,4183,52,IT,False,2006-04-28,29,220820
93,4933,31,Marketing,True,2013-12-21,14,118043
94,7374,52,HR,False,2009-02-12,27,223315
95,1082,61,Finance,True,2004-01-02,30,246738
96,4204,52,Finance,False,2018-08-10,24,191082
97,9015,59,Finance,False,2017-08-07,28,225302
98,1706,40,IT,False,2023-09-18,18,142093
99,3873,46,IT,True,2005-07-08,19,156162
100,3229,35,Sales,True,2025-01-13,17,134816
101,6665,40,HR,False,1985-08-29,15,122745
102,4680,40,HR,True,1984-06-06,24,186453
103,1002,48,IT,False,2013-07-13,25,199561
104,1137,54,Marketing,True,1991-04-21,25,204293
105,7922,58,HR,True,1975-09-24,30,242531
106,3307,25,IT,True,1987-05-06,12,103111
107,8235,53,HR,True,1997-06-27,30,237496
108,9113,50,Sales,False,2022-08-10,24,193765
109,6545,63,HR,False,1996-11-20,30,240281
110,4987,54,Finance,False,1978-08-21,22,176659
111,9111,58,IT,True,1985-05-02,30,244973
112,1061,37,Sales,False,1984-10-06,20,160566
113,6101,43,IT,True,2007-08-10,23,177312
114,5338,24,Marketing,False,2016-08-06,12,92967
115,3697,46,Marketing,False,2002-08-20,25,208044
116,6704,60,Finance,False,2010-01-12,29,225723
117,1819,61,IT,False,2012-02-05,26,208426
118,4425,61,IT,False,1978-10-23,35,279946
119,2499,29,Finance,True,2006-10-24,16,129970
120,4801,54,HR,False,1985-04-10,28,225408
121,8001,32,IT,False,2006-05-14,16,125760
122,5263,28,Sales,True,2006-05-04,12,92056
123,7486,45,IT,True,2017-12-26,23,186546
124,3717,58,Sales,False,2020-05-06,26,215978
125,1861,48,Marketing,True,1979-04-07,25,185892
126,1204,40,HR,False,1981-11-12,21,158986
127,8608,55,Finance,True,2018-03-05,26,202823
128,9278,56,HR,False,1984-08-29,25,198549
129,1084,32,Sales,True,2018-04-20,17,142300
130,3305,63,IT,True,2016-09-17,29,232577
131,1262,49,Finance,True,2003-05-02,24,196293
132,2478,40,Marketing,False,2010-06-04,23,185268
133,4357,41,Finance,False,2017-04-09,20,166636
134,1802,22,Finance,False,1989-05-10,12,94300
135,4666,49,Marketing,True,2014-08-07,25,198827
136,7327,44,Finance,True,1983-03-26,25,190600
137,5722,43,HR,True,1983-08-25,24,187430
138,8172,45,Finance,False,2014-04-17,21,166573
139,2391,49,HR,True,1990-11-04,22,176961
140,3536,54,IT,True,2008-02-23,25,206014
141,7770,43,Sales,True,1975-10-27,21,167653
142,1571,34,IT,False,2003-03-06,17,138491
143,2558,29,Marketing,True,1976-01-13,14,113663
144,1197,57,Sales,True,2006-05-02,25,195286
145,4842,55,Sales,True,1998-03-29,27,215637
146,1809,43,Finance,True,2001-07-06,21,170164
147,2304,57,Marketing,False,1991-09-13,30,240851
